x	y	tooltip	showSelected1	showSelected2
1580322600	1	30/01/20 Confirmed= 1	Kerala	January 2020
1580409000	1	31/01/20 Confirmed= 1	Kerala	January 2020
1580495400	2	01/02/20 Confirmed= 2	Kerala	February 2020
1580581800	3	02/02/20 Confirmed= 3	Kerala	February 2020
1580668200	3	03/02/20 Confirmed= 3	Kerala	February 2020
1580754600	3	04/02/20 Confirmed= 3	Kerala	February 2020
1580841000	3	05/02/20 Confirmed= 3	Kerala	February 2020
1580927400	3	06/02/20 Confirmed= 3	Kerala	February 2020
1581013800	3	07/02/20 Confirmed= 3	Kerala	February 2020
1581100200	3	08/02/20 Confirmed= 3	Kerala	February 2020
1581186600	3	09/02/20 Confirmed= 3	Kerala	February 2020
1581273000	3	10/02/20 Confirmed= 3	Kerala	February 2020
1581359400	3	11/02/20 Confirmed= 3	Kerala	February 2020
1581445800	3	12/02/20 Confirmed= 3	Kerala	February 2020
1581532200	3	13/02/20 Confirmed= 3	Kerala	February 2020
1581618600	3	14/02/20 Confirmed= 3	Kerala	February 2020
1581705000	3	15/02/20 Confirmed= 3	Kerala	February 2020
1581791400	3	16/02/20 Confirmed= 3	Kerala	February 2020
1581877800	3	17/02/20 Confirmed= 3	Kerala	February 2020
1581964200	3	18/02/20 Confirmed= 3	Kerala	February 2020
1582050600	3	19/02/20 Confirmed= 3	Kerala	February 2020
1582137000	3	20/02/20 Confirmed= 3	Kerala	February 2020
1582223400	3	21/02/20 Confirmed= 3	Kerala	February 2020
1582309800	3	22/02/20 Confirmed= 3	Kerala	February 2020
1582396200	3	23/02/20 Confirmed= 3	Kerala	February 2020
1582482600	3	24/02/20 Confirmed= 3	Kerala	February 2020
1582569000	3	25/02/20 Confirmed= 3	Kerala	February 2020
1582655400	3	26/02/20 Confirmed= 3	Kerala	February 2020
1582741800	3	27/02/20 Confirmed= 3	Kerala	February 2020
1582828200	3	28/02/20 Confirmed= 3	Kerala	February 2020
1582914600	3	29/02/20 Confirmed= 3	Kerala	February 2020
1583001000	3	01/03/20 Confirmed= 3	Kerala	March 2020
1583087400	1	02/03/20 Confirmed= 1	Telengana	March 2020
1583087400	3	02/03/20 Confirmed= 3	Kerala	March 2020
1583087400	1	02/03/20 Confirmed= 1	Delhi	March 2020
1583173800	1	03/03/20 Confirmed= 1	Telengana	March 2020
1583173800	1	03/03/20 Confirmed= 1	Rajasthan	March 2020
1583173800	3	03/03/20 Confirmed= 3	Kerala	March 2020
1583173800	1	03/03/20 Confirmed= 1	Delhi	March 2020
1583260200	6	04/03/20 Confirmed= 6	Uttar Pradesh	March 2020
1583260200	3	04/03/20 Confirmed= 3	Kerala	March 2020
1583260200	2	04/03/20 Confirmed= 2	Haryana	March 2020
1583260200	1	04/03/20 Confirmed= 1	Delhi	March 2020
1583260200	1	04/03/20 Confirmed= 1	Telengana	March 2020
1583260200	15	04/03/20 Confirmed= 15	Rajasthan	March 2020
1583346600	2	05/03/20 Confirmed= 2	Delhi	March 2020
1583346600	2	05/03/20 Confirmed= 2	Haryana	March 2020
1583346600	3	05/03/20 Confirmed= 3	Kerala	March 2020
1583346600	15	05/03/20 Confirmed= 15	Rajasthan	March 2020
1583346600	1	05/03/20 Confirmed= 1	Telengana	March 2020
1583346600	7	05/03/20 Confirmed= 7	Uttar Pradesh	March 2020
1583433000	3	06/03/20 Confirmed= 3	Delhi	March 2020
1583433000	2	06/03/20 Confirmed= 2	Haryana	March 2020
1583433000	3	06/03/20 Confirmed= 3	Kerala	March 2020
1583433000	15	06/03/20 Confirmed= 15	Rajasthan	March 2020
1583433000	7	06/03/20 Confirmed= 7	Uttar Pradesh	March 2020
1583433000	1	06/03/20 Confirmed= 1	Telengana	March 2020
1583519400	3	07/03/20 Confirmed= 3	Kerala	March 2020
1583519400	7	07/03/20 Confirmed= 7	Uttar Pradesh	March 2020
1583519400	2	07/03/20 Confirmed= 2	Ladakh	March 2020
1583519400	1	07/03/20 Confirmed= 1	Telengana	March 2020
1583519400	1	07/03/20 Confirmed= 1	Tamil Nadu	March 2020
1583519400	3	07/03/20 Confirmed= 3	Delhi	March 2020
1583519400	2	07/03/20 Confirmed= 2	Haryana	March 2020
1583519400	15	07/03/20 Confirmed= 15	Rajasthan	March 2020
1583605800	2	08/03/20 Confirmed= 2	Ladakh	March 2020
1583605800	1	08/03/20 Confirmed= 1	Telengana	March 2020
1583605800	1	08/03/20 Confirmed= 1	Tamil Nadu	March 2020
1583605800	15	08/03/20 Confirmed= 15	Rajasthan	March 2020
1583605800	8	08/03/20 Confirmed= 8	Kerala	March 2020
1583605800	2	08/03/20 Confirmed= 2	Haryana	March 2020
1583605800	3	08/03/20 Confirmed= 3	Delhi	March 2020
1583605800	7	08/03/20 Confirmed= 7	Uttar Pradesh	March 2020
1583692200	2	09/03/20 Confirmed= 2	Ladakh	March 2020
1583692200	1	09/03/20 Confirmed= 1	Karnataka	March 2020
1583692200	9	09/03/20 Confirmed= 9	Kerala	March 2020
1583692200	2	09/03/20 Confirmed= 2	Maharashtra	March 2020
1583692200	1	09/03/20 Confirmed= 1	Punjab	March 2020
1583692200	15	09/03/20 Confirmed= 15	Rajasthan	March 2020
1583692200	1	09/03/20 Confirmed= 1	Tamil Nadu	March 2020
1583692200	1	09/03/20 Confirmed= 1	Telengana	March 2020
1583692200	1	09/03/20 Confirmed= 1	Jammu and Kashmir	March 2020
1583692200	7	09/03/20 Confirmed= 7	Uttar Pradesh	March 2020
