xmin	xmax	clickSelects	group
1577817000	1580495400	January 2020	1
1577817000	1580495400	January 2020	1
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1580495400	1583001000	February 2020	2
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
1583001000	1585679400	March 2020	3
