colour	x	y	group	clickSelects
#F8766D	1593455400	90	1	Andaman and Nicobar Islands
#F8766D	1593541800	97	1	Andaman and Nicobar Islands
#F8766D	1593628200	100	1	Andaman and Nicobar Islands
#F8766D	1593714600	109	1	Andaman and Nicobar Islands
#F8766D	1593801000	116	1	Andaman and Nicobar Islands
#F8766D	1593887400	119	1	Andaman and Nicobar Islands
#F8766D	1593973800	125	1	Andaman and Nicobar Islands
#F8766D	1594060200	141	1	Andaman and Nicobar Islands
#F8766D	1594146600	147	1	Andaman and Nicobar Islands
#F8766D	1594233000	149	1	Andaman and Nicobar Islands
#F8766D	1594319400	151	1	Andaman and Nicobar Islands
#F8766D	1594405800	156	1	Andaman and Nicobar Islands
#F8766D	1594492200	163	1	Andaman and Nicobar Islands
#F8766D	1594578600	163	1	Andaman and Nicobar Islands
#F8766D	1594665000	166	1	Andaman and Nicobar Islands
#F8766D	1594751400	166	1	Andaman and Nicobar Islands
#F8766D	1594837800	176	1	Andaman and Nicobar Islands
#F8766D	1594924200	180	1	Andaman and Nicobar Islands
#F8766D	1595010600	194	1	Andaman and Nicobar Islands
#F8766D	1595097000	198	1	Andaman and Nicobar Islands
#F8766D	1595183400	203	1	Andaman and Nicobar Islands
#F8766D	1595269800	207	1	Andaman and Nicobar Islands
#F8766D	1595356200	212	1	Andaman and Nicobar Islands
#F8766D	1595442600	221	1	Andaman and Nicobar Islands
#F8766D	1595529000	240	1	Andaman and Nicobar Islands
#F8766D	1595615400	259	1	Andaman and Nicobar Islands
#F8766D	1595701800	290	1	Andaman and Nicobar Islands
#F8766D	1595788200	324	1	Andaman and Nicobar Islands
#F8766D	1595874600	338	1	Andaman and Nicobar Islands
#F8766D	1595961000	363	1	Andaman and Nicobar Islands
#F8766D	1596047400	428	1	Andaman and Nicobar Islands
#F8766D	1596133800	471	1	Andaman and Nicobar Islands
#F8766D	1596220200	548	1	Andaman and Nicobar Islands
#F8766D	1596306600	636	1	Andaman and Nicobar Islands
#F8766D	1596393000	734	1	Andaman and Nicobar Islands
#F8766D	1596479400	830	1	Andaman and Nicobar Islands
#F8766D	1596565800	928	1	Andaman and Nicobar Islands
#F8766D	1596652200	1027	1	Andaman and Nicobar Islands
#F8766D	1596738600	1123	1	Andaman and Nicobar Islands
#F8766D	1596825000	1222	1	Andaman and Nicobar Islands
#F8766D	1596911400	1351	1	Andaman and Nicobar Islands
#F8766D	1596997800	1490	1	Andaman and Nicobar Islands
#F8766D	1597084200	1625	1	Andaman and Nicobar Islands
#F8766D	1597170600	1764	1	Andaman and Nicobar Islands
#F8766D	1597257000	1900	1	Andaman and Nicobar Islands
#F8766D	1597343400	2037	1	Andaman and Nicobar Islands
#F8766D	1597429800	2186	1	Andaman and Nicobar Islands
#F8766D	1597516200	2306	1	Andaman and Nicobar Islands
#F8766D	1597602600	2399	1	Andaman and Nicobar Islands
#F8766D	1597689000	2445	1	Andaman and Nicobar Islands
#F8766D	1597775400	2529	1	Andaman and Nicobar Islands
#F8766D	1597861800	2604	1	Andaman and Nicobar Islands
#F8766D	1597948200	2680	1	Andaman and Nicobar Islands
#F8766D	1598034600	2747	1	Andaman and Nicobar Islands
#F8766D	1598121000	2808	1	Andaman and Nicobar Islands
#F8766D	1598207400	2860	1	Andaman and Nicobar Islands
#F8766D	1598293800	2904	1	Andaman and Nicobar Islands
#F8766D	1598380200	2945	1	Andaman and Nicobar Islands
#F8766D	1598466600	2985	1	Andaman and Nicobar Islands
#F8766D	1598553000	3018	1	Andaman and Nicobar Islands
#F8766D	1598639400	3050	1	Andaman and Nicobar Islands
#F8766D	1598725800	3081	1	Andaman and Nicobar Islands
#F8766D	1598812200	3104	1	Andaman and Nicobar Islands
