x	y	tooltip	showSelected1	showSelected2
1580322600	0	30/01/20 Cured= 0	Kerala	January 2020
1580409000	0	31/01/20 Cured= 0	Kerala	January 2020
1580495400	0	01/02/20 Cured= 0	Kerala	February 2020
1580581800	0	02/02/20 Cured= 0	Kerala	February 2020
1580668200	0	03/02/20 Cured= 0	Kerala	February 2020
1580754600	0	04/02/20 Cured= 0	Kerala	February 2020
1580841000	0	05/02/20 Cured= 0	Kerala	February 2020
1580927400	0	06/02/20 Cured= 0	Kerala	February 2020
1581013800	0	07/02/20 Cured= 0	Kerala	February 2020
1581100200	0	08/02/20 Cured= 0	Kerala	February 2020
1581186600	0	09/02/20 Cured= 0	Kerala	February 2020
1581273000	0	10/02/20 Cured= 0	Kerala	February 2020
1581359400	0	11/02/20 Cured= 0	Kerala	February 2020
1581445800	0	12/02/20 Cured= 0	Kerala	February 2020
1581532200	0	13/02/20 Cured= 0	Kerala	February 2020
1581618600	0	14/02/20 Cured= 0	Kerala	February 2020
1581705000	0	15/02/20 Cured= 0	Kerala	February 2020
1581791400	0	16/02/20 Cured= 0	Kerala	February 2020
1581877800	0	17/02/20 Cured= 0	Kerala	February 2020
1581964200	0	18/02/20 Cured= 0	Kerala	February 2020
1582050600	0	19/02/20 Cured= 0	Kerala	February 2020
1582137000	0	20/02/20 Cured= 0	Kerala	February 2020
1582223400	0	21/02/20 Cured= 0	Kerala	February 2020
1582309800	0	22/02/20 Cured= 0	Kerala	February 2020
1582396200	0	23/02/20 Cured= 0	Kerala	February 2020
1582482600	0	24/02/20 Cured= 0	Kerala	February 2020
1582569000	0	25/02/20 Cured= 0	Kerala	February 2020
1582655400	0	26/02/20 Cured= 0	Kerala	February 2020
1582741800	0	27/02/20 Cured= 0	Kerala	February 2020
1582828200	0	28/02/20 Cured= 0	Kerala	February 2020
1582914600	0	29/02/20 Cured= 0	Kerala	February 2020
1583001000	0	01/03/20 Cured= 0	Kerala	March 2020
1583087400	0	02/03/20 Cured= 0	Telengana	March 2020
1583087400	0	02/03/20 Cured= 0	Kerala	March 2020
1583087400	0	02/03/20 Cured= 0	Delhi	March 2020
1583173800	0	03/03/20 Cured= 0	Telengana	March 2020
1583173800	0	03/03/20 Cured= 0	Rajasthan	March 2020
1583173800	3	03/03/20 Cured= 3	Kerala	March 2020
1583173800	0	03/03/20 Cured= 0	Delhi	March 2020
1583260200	0	04/03/20 Cured= 0	Uttar Pradesh	March 2020
1583260200	3	04/03/20 Cured= 3	Kerala	March 2020
1583260200	0	04/03/20 Cured= 0	Haryana	March 2020
1583260200	0	04/03/20 Cured= 0	Delhi	March 2020
1583260200	0	04/03/20 Cured= 0	Telengana	March 2020
1583260200	0	04/03/20 Cured= 0	Rajasthan	March 2020
1583346600	0	05/03/20 Cured= 0	Delhi	March 2020
1583346600	0	05/03/20 Cured= 0	Haryana	March 2020
1583346600	3	05/03/20 Cured= 3	Kerala	March 2020
1583346600	0	05/03/20 Cured= 0	Rajasthan	March 2020
1583346600	0	05/03/20 Cured= 0	Telengana	March 2020
1583346600	0	05/03/20 Cured= 0	Uttar Pradesh	March 2020
1583433000	0	06/03/20 Cured= 0	Delhi	March 2020
1583433000	0	06/03/20 Cured= 0	Haryana	March 2020
1583433000	3	06/03/20 Cured= 3	Kerala	March 2020
1583433000	0	06/03/20 Cured= 0	Rajasthan	March 2020
1583433000	0	06/03/20 Cured= 0	Uttar Pradesh	March 2020
1583433000	0	06/03/20 Cured= 0	Telengana	March 2020
1583519400	3	07/03/20 Cured= 3	Kerala	March 2020
1583519400	0	07/03/20 Cured= 0	Uttar Pradesh	March 2020
1583519400	0	07/03/20 Cured= 0	Ladakh	March 2020
1583519400	0	07/03/20 Cured= 0	Telengana	March 2020
1583519400	0	07/03/20 Cured= 0	Tamil Nadu	March 2020
1583519400	0	07/03/20 Cured= 0	Delhi	March 2020
1583519400	0	07/03/20 Cured= 0	Haryana	March 2020
1583519400	0	07/03/20 Cured= 0	Rajasthan	March 2020
1583605800	0	08/03/20 Cured= 0	Ladakh	March 2020
1583605800	0	08/03/20 Cured= 0	Telengana	March 2020
1583605800	0	08/03/20 Cured= 0	Tamil Nadu	March 2020
1583605800	0	08/03/20 Cured= 0	Rajasthan	March 2020
1583605800	3	08/03/20 Cured= 3	Kerala	March 2020
1583605800	0	08/03/20 Cured= 0	Haryana	March 2020
1583605800	0	08/03/20 Cured= 0	Delhi	March 2020
1583605800	0	08/03/20 Cured= 0	Uttar Pradesh	March 2020
1583692200	0	09/03/20 Cured= 0	Ladakh	March 2020
1583692200	0	09/03/20 Cured= 0	Karnataka	March 2020
1583692200	3	09/03/20 Cured= 3	Kerala	March 2020
1583692200	0	09/03/20 Cured= 0	Maharashtra	March 2020
1583692200	0	09/03/20 Cured= 0	Punjab	March 2020
1583692200	0	09/03/20 Cured= 0	Rajasthan	March 2020
1583692200	0	09/03/20 Cured= 0	Tamil Nadu	March 2020
1583692200	0	09/03/20 Cured= 0	Telengana	March 2020
1583692200	0	09/03/20 Cured= 0	Jammu and Kashmir	March 2020
1583692200	0	09/03/20 Cured= 0	Uttar Pradesh	March 2020
1583692200	0	09/03/20 Cured= 0	Haryana	March 2020
1583692200	0	09/03/20 Cured= 0	Delhi	March 2020
1583778600	0	10/03/20 Cured= 0	Uttar Pradesh	March 2020
1583778600	0	10/03/20 Cured= 0	Ladakh	March 2020
1583778600	0	10/03/20 Cured= 0	Delhi	March 2020
1583778600	0	10/03/20 Cured= 0	Haryana	March 2020
1583778600	0	10/03/20 Cured= 0	Karnataka	March 2020
1583778600	3	10/03/20 Cured= 3	Kerala	March 2020
1583778600	0	10/03/20 Cured= 0	Maharashtra	March 2020
1583778600	0	10/03/20 Cured= 0	Punjab	March 2020
1583778600	0	10/03/20 Cured= 0	Rajasthan	March 2020
1583778600	0	10/03/20 Cured= 0	Tamil Nadu	March 2020
1583778600	0	10/03/20 Cured= 0	Telengana	March 2020
1583778600	0	10/03/20 Cured= 0	Jammu and Kashmir	March 2020
1583865000	0	11/03/20 Cured= 0	Maharashtra	March 2020
1583865000	0	11/03/20 Cured= 0	Delhi	March 2020
1583865000	0	11/03/20 Cured= 0	Haryana	March 2020
1583865000	3	11/03/20 Cured= 3	Kerala	March 2020
1583865000	0	11/03/20 Cured= 0	Rajasthan	March 2020
1583865000	0	11/03/20 Cured= 0	Telengana	March 2020
1583865000	0	11/03/20 Cured= 0	Uttar Pradesh	March 2020
1583865000	0	11/03/20 Cured= 0	Ladakh	March 2020
1583865000	0	11/03/20 Cured= 0	Tamil Nadu	March 2020
1583865000	0	11/03/20 Cured= 0	Jammu and Kashmir	March 2020
1583865000	0	11/03/20 Cured= 0	Punjab	March 2020
1583865000	0	11/03/20 Cured= 0	Karnataka	March 2020
1583951400	0	12/03/20 Cured= 0	Delhi	March 2020
1583951400	0	12/03/20 Cured= 0	Haryana	March 2020
1583951400	3	12/03/20 Cured= 3	Kerala	March 2020
1583951400	0	12/03/20 Cured= 0	Rajasthan	March 2020
1583951400	0	12/03/20 Cured= 0	Telengana	March 2020
1583951400	0	12/03/20 Cured= 0	Uttar Pradesh	March 2020
1583951400	0	12/03/20 Cured= 0	Ladakh	March 2020
1583951400	0	12/03/20 Cured= 0	Tamil Nadu	March 2020
1583951400	0	12/03/20 Cured= 0	Jammu and Kashmir	March 2020
1583951400	0	12/03/20 Cured= 0	Punjab	March 2020
1583951400	0	12/03/20 Cured= 0	Karnataka	March 2020
1583951400	0	12/03/20 Cured= 0	Maharashtra	March 2020
1583951400	0	12/03/20 Cured= 0	Andhra Pradesh	March 2020
1584037800	0	13/03/20 Cured= 0	Delhi	March 2020
1584037800	0	13/03/20 Cured= 0	Haryana	March 2020
1584037800	3	13/03/20 Cured= 3	Kerala	March 2020
1584037800	0	13/03/20 Cured= 0	Rajasthan	March 2020
1584037800	0	13/03/20 Cured= 0	Telengana	March 2020
1584037800	0	13/03/20 Cured= 0	Uttar Pradesh	March 2020
1584037800	0	13/03/20 Cured= 0	Ladakh	March 2020
1584037800	0	13/03/20 Cured= 0	Tamil Nadu	March 2020
1584037800	0	13/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584037800	0	13/03/20 Cured= 0	Punjab	March 2020
1584037800	0	13/03/20 Cured= 0	Karnataka	March 2020
1584037800	0	13/03/20 Cured= 0	Maharashtra	March 2020
1584037800	0	13/03/20 Cured= 0	Andhra Pradesh	March 2020
1584124200	1	14/03/20 Cured= 1	Delhi	March 2020
1584124200	0	14/03/20 Cured= 0	Haryana	March 2020
1584124200	3	14/03/20 Cured= 3	Kerala	March 2020
1584124200	1	14/03/20 Cured= 1	Rajasthan	March 2020
1584124200	0	14/03/20 Cured= 0	Telengana	March 2020
1584124200	5	14/03/20 Cured= 5	Uttar Pradesh	March 2020
1584124200	0	14/03/20 Cured= 0	Ladakh	March 2020
1584124200	0	14/03/20 Cured= 0	Tamil Nadu	March 2020
1584124200	0	14/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584124200	0	14/03/20 Cured= 0	Punjab	March 2020
1584124200	0	14/03/20 Cured= 0	Karnataka	March 2020
1584124200	0	14/03/20 Cured= 0	Maharashtra	March 2020
1584124200	0	14/03/20 Cured= 0	Andhra Pradesh	March 2020
1584210600	0	15/03/20 Cured= 0	Andhra Pradesh	March 2020
1584210600	2	15/03/20 Cured= 2	Delhi	March 2020
1584210600	0	15/03/20 Cured= 0	Haryana	March 2020
1584210600	0	15/03/20 Cured= 0	Karnataka	March 2020
1584210600	3	15/03/20 Cured= 3	Kerala	March 2020
1584210600	0	15/03/20 Cured= 0	Maharashtra	March 2020
1584210600	0	15/03/20 Cured= 0	Punjab	March 2020
1584210600	3	15/03/20 Cured= 3	Rajasthan	March 2020
1584210600	0	15/03/20 Cured= 0	Tamil Nadu	March 2020
1584210600	1	15/03/20 Cured= 1	Telengana	March 2020
1584210600	0	15/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584210600	0	15/03/20 Cured= 0	Ladakh	March 2020
1584210600	4	15/03/20 Cured= 4	Uttar Pradesh	March 2020
1584210600	0	15/03/20 Cured= 0	Uttarakhand	March 2020
1584297000	0	16/03/20 Cured= 0	Andhra Pradesh	March 2020
1584297000	2	16/03/20 Cured= 2	Delhi	March 2020
1584297000	0	16/03/20 Cured= 0	Haryana	March 2020
1584297000	0	16/03/20 Cured= 0	Karnataka	March 2020
1584297000	3	16/03/20 Cured= 3	Kerala	March 2020
1584297000	0	16/03/20 Cured= 0	Maharashtra	March 2020
1584297000	0	16/03/20 Cured= 0	Odisha	March 2020
1584297000	0	16/03/20 Cured= 0	Punjab	March 2020
1584297000	3	16/03/20 Cured= 3	Rajasthan	March 2020
1584297000	0	16/03/20 Cured= 0	Tamil Nadu	March 2020
1584297000	1	16/03/20 Cured= 1	Telengana	March 2020
1584297000	0	16/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584297000	0	16/03/20 Cured= 0	Ladakh	March 2020
1584297000	4	16/03/20 Cured= 4	Uttar Pradesh	March 2020
1584297000	0	16/03/20 Cured= 0	Uttarakhand	March 2020
1584383400	0	17/03/20 Cured= 0	Andhra Pradesh	March 2020
1584383400	2	17/03/20 Cured= 2	Delhi	March 2020
1584383400	0	17/03/20 Cured= 0	Haryana	March 2020
1584383400	0	17/03/20 Cured= 0	Karnataka	March 2020
1584383400	3	17/03/20 Cured= 3	Kerala	March 2020
1584383400	0	17/03/20 Cured= 0	Maharashtra	March 2020
1584383400	0	17/03/20 Cured= 0	Odisha	March 2020
1584383400	0	17/03/20 Cured= 0	Punjab	March 2020
1584383400	3	17/03/20 Cured= 3	Rajasthan	March 2020
1584383400	0	17/03/20 Cured= 0	Tamil Nadu	March 2020
1584383400	1	17/03/20 Cured= 1	Telengana	March 2020
1584383400	0	17/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584383400	0	17/03/20 Cured= 0	Ladakh	March 2020
1584383400	5	17/03/20 Cured= 5	Uttar Pradesh	March 2020
1584383400	0	17/03/20 Cured= 0	Uttarakhand	March 2020
1584469800	0	18/03/20 Cured= 0	Andhra Pradesh	March 2020
1584469800	2	18/03/20 Cured= 2	Delhi	March 2020
1584469800	0	18/03/20 Cured= 0	Haryana	March 2020
1584469800	0	18/03/20 Cured= 0	Karnataka	March 2020
1584469800	3	18/03/20 Cured= 3	Kerala	March 2020
1584469800	0	18/03/20 Cured= 0	Maharashtra	March 2020
1584469800	0	18/03/20 Cured= 0	Odisha	March 2020
1584469800	0	18/03/20 Cured= 0	Puducherry	March 2020
1584469800	0	18/03/20 Cured= 0	Punjab	March 2020
1584469800	3	18/03/20 Cured= 3	Rajasthan	March 2020
1584469800	0	18/03/20 Cured= 0	Tamil Nadu	March 2020
1584469800	1	18/03/20 Cured= 1	Telengana	March 2020
1584469800	0	18/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584469800	0	18/03/20 Cured= 0	Ladakh	March 2020
1584469800	5	18/03/20 Cured= 5	Uttar Pradesh	March 2020
1584469800	0	18/03/20 Cured= 0	Uttarakhand	March 2020
1584469800	0	18/03/20 Cured= 0	West Bengal	March 2020
1584556200	0	19/03/20 Cured= 0	Andhra Pradesh	March 2020
1584556200	0	19/03/20 Cured= 0	Chhattisgarh	March 2020
1584556200	3	19/03/20 Cured= 3	Delhi	March 2020
1584556200	0	19/03/20 Cured= 0	Haryana	March 2020
1584556200	0	19/03/20 Cured= 0	Karnataka	March 2020
1584556200	3	19/03/20 Cured= 3	Kerala	March 2020
1584556200	0	19/03/20 Cured= 0	Maharashtra	March 2020
1584556200	0	19/03/20 Cured= 0	Odisha	March 2020
1584556200	0	19/03/20 Cured= 0	Puducherry	March 2020
1584556200	0	19/03/20 Cured= 0	Punjab	March 2020
1584556200	3	19/03/20 Cured= 3	Rajasthan	March 2020
1584556200	1	19/03/20 Cured= 1	Tamil Nadu	March 2020
1584556200	1	19/03/20 Cured= 1	Telengana	March 2020
1584556200	0	19/03/20 Cured= 0	Chandigarh	March 2020
1584556200	0	19/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584556200	0	19/03/20 Cured= 0	Ladakh	March 2020
1584556200	9	19/03/20 Cured= 9	Uttar Pradesh	March 2020
1584556200	0	19/03/20 Cured= 0	Uttarakhand	March 2020
1584556200	0	19/03/20 Cured= 0	West Bengal	March 2020
1584642600	0	20/03/20 Cured= 0	Andhra Pradesh	March 2020
1584642600	0	20/03/20 Cured= 0	Chhattisgarh	March 2020
1584642600	5	20/03/20 Cured= 5	Delhi	March 2020
1584642600	0	20/03/20 Cured= 0	Gujarat	March 2020
1584642600	0	20/03/20 Cured= 0	Haryana	March 2020
1584642600	1	20/03/20 Cured= 1	Karnataka	March 2020
1584642600	3	20/03/20 Cured= 3	Kerala	March 2020
1584642600	0	20/03/20 Cured= 0	Maharashtra	March 2020
1584642600	0	20/03/20 Cured= 0	Odisha	March 2020
1584642600	0	20/03/20 Cured= 0	Puducherry	March 2020
1584642600	0	20/03/20 Cured= 0	Punjab	March 2020
1584642600	3	20/03/20 Cured= 3	Rajasthan	March 2020
1584642600	1	20/03/20 Cured= 1	Tamil Nadu	March 2020
1584642600	1	20/03/20 Cured= 1	Telengana	March 2020
1584642600	0	20/03/20 Cured= 0	Chandigarh	March 2020
1584642600	0	20/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584642600	0	20/03/20 Cured= 0	Ladakh	March 2020
1584642600	9	20/03/20 Cured= 9	Uttar Pradesh	March 2020
1584642600	0	20/03/20 Cured= 0	Uttarakhand	March 2020
1584642600	0	20/03/20 Cured= 0	West Bengal	March 2020
1584729000	0	21/03/20 Cured= 0	Andhra Pradesh	March 2020
1584729000	0	21/03/20 Cured= 0	Chhattisgarh	March 2020
1584729000	5	21/03/20 Cured= 5	Delhi	March 2020
1584729000	0	21/03/20 Cured= 0	Gujarat	March 2020
1584729000	0	21/03/20 Cured= 0	Haryana	March 2020
1584729000	0	21/03/20 Cured= 0	Himachal Pradesh	March 2020
1584729000	1	21/03/20 Cured= 1	Karnataka	March 2020
1584729000	3	21/03/20 Cured= 3	Kerala	March 2020
1584729000	0	21/03/20 Cured= 0	Madhya Pradesh	March 2020
1584729000	0	21/03/20 Cured= 0	Maharashtra	March 2020
1584729000	0	21/03/20 Cured= 0	Odisha	March 2020
1584729000	0	21/03/20 Cured= 0	Puducherry	March 2020
1584729000	0	21/03/20 Cured= 0	Punjab	March 2020
1584729000	3	21/03/20 Cured= 3	Rajasthan	March 2020
1584729000	1	21/03/20 Cured= 1	Tamil Nadu	March 2020
1584729000	1	21/03/20 Cured= 1	Telengana	March 2020
1584729000	0	21/03/20 Cured= 0	Chandigarh	March 2020
1584729000	0	21/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584729000	0	21/03/20 Cured= 0	Ladakh	March 2020
1584729000	9	21/03/20 Cured= 9	Uttar Pradesh	March 2020
1584729000	0	21/03/20 Cured= 0	Uttarakhand	March 2020
1584729000	0	21/03/20 Cured= 0	West Bengal	March 2020
1584815400	0	22/03/20 Cured= 0	Andhra Pradesh	March 2020
1584815400	0	22/03/20 Cured= 0	Bihar	March 2020
1584815400	0	22/03/20 Cured= 0	Chhattisgarh	March 2020
1584815400	5	22/03/20 Cured= 5	Delhi	March 2020
1584815400	0	22/03/20 Cured= 0	Gujarat	March 2020
1584815400	0	22/03/20 Cured= 0	Haryana	March 2020
1584815400	0	22/03/20 Cured= 0	Himachal Pradesh	March 2020
1584815400	2	22/03/20 Cured= 2	Karnataka	March 2020
1584815400	3	22/03/20 Cured= 3	Kerala	March 2020
1584815400	0	22/03/20 Cured= 0	Madhya Pradesh	March 2020
1584815400	0	22/03/20 Cured= 0	Maharashtra	March 2020
1584815400	0	22/03/20 Cured= 0	Odisha	March 2020
1584815400	0	22/03/20 Cured= 0	Puducherry	March 2020
1584815400	0	22/03/20 Cured= 0	Punjab	March 2020
1584815400	3	22/03/20 Cured= 3	Rajasthan	March 2020
1584815400	1	22/03/20 Cured= 1	Tamil Nadu	March 2020
1584815400	1	22/03/20 Cured= 1	Telengana	March 2020
1584815400	0	22/03/20 Cured= 0	Chandigarh	March 2020
1584815400	0	22/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584815400	0	22/03/20 Cured= 0	Ladakh	March 2020
1584815400	9	22/03/20 Cured= 9	Uttar Pradesh	March 2020
1584815400	0	22/03/20 Cured= 0	Uttarakhand	March 2020
1584815400	0	22/03/20 Cured= 0	West Bengal	March 2020
1584901800	0	23/03/20 Cured= 0	Andhra Pradesh	March 2020
1584901800	0	23/03/20 Cured= 0	Bihar	March 2020
1584901800	0	23/03/20 Cured= 0	Chhattisgarh	March 2020
1584901800	5	23/03/20 Cured= 5	Delhi	March 2020
1584901800	0	23/03/20 Cured= 0	Gujarat	March 2020
1584901800	0	23/03/20 Cured= 0	Haryana	March 2020
1584901800	0	23/03/20 Cured= 0	Himachal Pradesh	March 2020
1584901800	2	23/03/20 Cured= 2	Karnataka	March 2020
1584901800	3	23/03/20 Cured= 3	Kerala	March 2020
1584901800	0	23/03/20 Cured= 0	Madhya Pradesh	March 2020
1584901800	0	23/03/20 Cured= 0	Maharashtra	March 2020
1584901800	0	23/03/20 Cured= 0	Odisha	March 2020
1584901800	0	23/03/20 Cured= 0	Puducherry	March 2020
1584901800	0	23/03/20 Cured= 0	Punjab	March 2020
1584901800	3	23/03/20 Cured= 3	Rajasthan	March 2020
1584901800	1	23/03/20 Cured= 1	Tamil Nadu	March 2020
1584901800	1	23/03/20 Cured= 1	Telengana	March 2020
1584901800	0	23/03/20 Cured= 0	Chandigarh	March 2020
1584901800	0	23/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584901800	0	23/03/20 Cured= 0	Ladakh	March 2020
1584901800	9	23/03/20 Cured= 9	Uttar Pradesh	March 2020
1584901800	0	23/03/20 Cured= 0	Uttarakhand	March 2020
1584901800	0	23/03/20 Cured= 0	West Bengal	March 2020
1584988200	0	24/03/20 Cured= 0	Andhra Pradesh	March 2020
1584988200	0	24/03/20 Cured= 0	Bihar	March 2020
1584988200	0	24/03/20 Cured= 0	Chhattisgarh	March 2020
1584988200	6	24/03/20 Cured= 6	Delhi	March 2020
1584988200	0	24/03/20 Cured= 0	Gujarat	March 2020
1584988200	11	24/03/20 Cured= 11	Haryana	March 2020
1584988200	0	24/03/20 Cured= 0	Himachal Pradesh	March 2020
1584988200	3	24/03/20 Cured= 3	Karnataka	March 2020
1584988200	4	24/03/20 Cured= 4	Kerala	March 2020
1584988200	0	24/03/20 Cured= 0	Madhya Pradesh	March 2020
1584988200	0	24/03/20 Cured= 0	Maharashtra	March 2020
1584988200	0	24/03/20 Cured= 0	Manipur	March 2020
1584988200	0	24/03/20 Cured= 0	Odisha	March 2020
1584988200	0	24/03/20 Cured= 0	Puducherry	March 2020
1584988200	0	24/03/20 Cured= 0	Punjab	March 2020
1584988200	3	24/03/20 Cured= 3	Rajasthan	March 2020
1584988200	1	24/03/20 Cured= 1	Tamil Nadu	March 2020
1584988200	1	24/03/20 Cured= 1	Telengana	March 2020
1584988200	0	24/03/20 Cured= 0	Chandigarh	March 2020
1584988200	0	24/03/20 Cured= 0	Jammu and Kashmir	March 2020
1584988200	0	24/03/20 Cured= 0	Ladakh	March 2020
1584988200	11	24/03/20 Cured= 11	Uttar Pradesh	March 2020
1584988200	0	24/03/20 Cured= 0	Uttarakhand	March 2020
1584988200	0	24/03/20 Cured= 0	West Bengal	March 2020
1585074600	1	25/03/20 Cured= 1	Andhra Pradesh	March 2020
1585074600	0	25/03/20 Cured= 0	Bihar	March 2020
1585074600	0	25/03/20 Cured= 0	Chhattisgarh	March 2020
1585074600	6	25/03/20 Cured= 6	Delhi	March 2020
1585074600	0	25/03/20 Cured= 0	Gujarat	March 2020
1585074600	11	25/03/20 Cured= 11	Haryana	March 2020
1585074600	0	25/03/20 Cured= 0	Himachal Pradesh	March 2020
1585074600	3	25/03/20 Cured= 3	Karnataka	March 2020
1585074600	4	25/03/20 Cured= 4	Kerala	March 2020
1585074600	0	25/03/20 Cured= 0	Madhya Pradesh	March 2020
1585074600	1	25/03/20 Cured= 1	Maharashtra	March 2020
1585074600	0	25/03/20 Cured= 0	Manipur	March 2020
1585074600	0	25/03/20 Cured= 0	Mizoram	March 2020
1585074600	0	25/03/20 Cured= 0	Odisha	March 2020
1585074600	0	25/03/20 Cured= 0	Puducherry	March 2020
1585074600	0	25/03/20 Cured= 0	Punjab	March 2020
1585074600	3	25/03/20 Cured= 3	Rajasthan	March 2020
1585074600	1	25/03/20 Cured= 1	Tamil Nadu	March 2020
1585074600	1	25/03/20 Cured= 1	Telengana	March 2020
1585074600	0	25/03/20 Cured= 0	Chandigarh	March 2020
1585074600	1	25/03/20 Cured= 1	Jammu and Kashmir	March 2020
1585074600	0	25/03/20 Cured= 0	Ladakh	March 2020
1585074600	11	25/03/20 Cured= 11	Uttar Pradesh	March 2020
1585074600	0	25/03/20 Cured= 0	Uttarakhand	March 2020
1585074600	0	25/03/20 Cured= 0	West Bengal	March 2020
1585161000	0	26/03/20 Cured= 0	Andaman and Nicobar Islands	March 2020
1585161000	1	26/03/20 Cured= 1	Andhra Pradesh	March 2020
1585161000	0	26/03/20 Cured= 0	Bihar	March 2020
1585161000	0	26/03/20 Cured= 0	Chandigarh	March 2020
1585161000	0	26/03/20 Cured= 0	Chhattisgarh	March 2020
1585161000	6	26/03/20 Cured= 6	Delhi	March 2020
1585161000	0	26/03/20 Cured= 0	Goa	March 2020
1585161000	0	26/03/20 Cured= 0	Gujarat	March 2020
1585161000	11	26/03/20 Cured= 11	Haryana	March 2020
1585161000	0	26/03/20 Cured= 0	Himachal Pradesh	March 2020
1585161000	1	26/03/20 Cured= 1	Jammu and Kashmir	March 2020
1585161000	3	26/03/20 Cured= 3	Karnataka	March 2020
1585161000	6	26/03/20 Cured= 6	Kerala	March 2020
1585161000	0	26/03/20 Cured= 0	Ladakh	March 2020
1585161000	0	26/03/20 Cured= 0	Madhya Pradesh	March 2020
1585161000	1	26/03/20 Cured= 1	Maharashtra	March 2020
1585161000	0	26/03/20 Cured= 0	Manipur	March 2020
1585161000	0	26/03/20 Cured= 0	Mizoram	March 2020
1585161000	0	26/03/20 Cured= 0	Odisha	March 2020
1585161000	0	26/03/20 Cured= 0	Puducherry	March 2020
1585161000	0	26/03/20 Cured= 0	Punjab	March 2020
1585161000	3	26/03/20 Cured= 3	Rajasthan	March 2020
1585161000	1	26/03/20 Cured= 1	Tamil Nadu	March 2020
1585161000	1	26/03/20 Cured= 1	Telengana	March 2020
1585161000	0	26/03/20 Cured= 0	Uttarakhand	March 2020
1585161000	11	26/03/20 Cured= 11	Uttar Pradesh	March 2020
1585161000	0	26/03/20 Cured= 0	West Bengal	March 2020
1585247400	0	27/03/20 Cured= 0	Andaman and Nicobar Islands	March 2020
1585247400	1	27/03/20 Cured= 1	Andhra Pradesh	March 2020
